id,title,rating,ratingLevel,ratingDescription,release_year,user rating score,user rating size
845,Gon,TV-G,Suitable for all ages.,35,2013,NA,82
846,Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,NA,82
847,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
848,The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
849,LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
850,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
851,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
852,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
853,Antz,PG,moderate adult language and intense action,60,1998,80,80
854,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
855,The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81,80
856,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,NA,82
857,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
858,The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
859,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,NA,82
860,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64,80
861,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
862,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
863,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
864,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,NA,82
865,FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,NA,82
866,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
867,Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
868,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
869,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,NA,82
870,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,NA,82
871,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,NA,82
872,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
873,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,NA,82
874,The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
875,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
876,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,NA,82
877,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
878,Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,NA,82
879,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
880,A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,NA,82
881,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,NA,82
882,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,NA,82
883,Ernest & Celestine,PG,some scary moments,60,2012,NA,82
884,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
885,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,80
886,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,NA,82
887,PopPixie,TV-G,Suitable for all ages.,35,2011,NA,82
888,Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,NA,82
889,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
890,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,NA,82
891,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
892,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,NA,82
893,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,NA,82
894,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84,80
895,Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,NA,82
896,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
897,Quackerz,PG,"rude and suggestive humor, and some action",60,2016,NA,82
898,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,NA,82
899,Blinky Bill: The Movie,PG,some rude humor,60,2015,NA,82
900,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
901,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
902,Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96,80
903,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
904,Antz,PG,moderate adult language and intense action,60,1998,80,80
905,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
906,The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
907,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,NA,82
908,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
909,Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58,80
910,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,NA,82
911,Cats & Dogs,PG,animal action and humor,60,2001,NA,82
912,Atlantis: The Lost Empire,PG,action violence,60,2001,96,80
913,FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70,80
914,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
915,Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
916,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
917,Tarzan & Jane,G,General Audiences. Suitable for all ages.,35,2002,NA,82
918,Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79,80
919,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,NA,82
920,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,NA,82
921,Annie,PG,adult content and mld violence,60,1982,68,80
922,Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,NA,82
923,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,NA,82
924,Batched,G,General Audiences. Suitable for all ages.,35,2000,NA,82
925,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
926,Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,NA,82
927,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,NA,82
928,The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
929,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85,80
930,Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,NA,82
931,Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,NA,82
932,Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91,80
933,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
