id,title,rating,ratingLevel,ratingDescription,release_year,user rating score,user rating size
102,Lucky Number Slevin,R,"strong violence, sexual content and adult language",100,2006,NA,82
103,The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,NA,82
104,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
105,30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66,80
106,Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75,80
107,It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,80
108,Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,80
109,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
110,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
111,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
112,Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
113,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
114,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,NA,82
115,Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,NA,82
116,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
117,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
118,5 to 7,R,some sexual material,100,2014,NA,82
119,Marvel's Iron Fist,TV-MA,,110,2017,98,80
120,Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
121,Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
122,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
123,Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95,80
124,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
125,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
126,Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
127,Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
128,Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,NA,82
129,Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
130,Abstract: The Art of Design,TV-14,,90,2017,NA,82
131,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
132,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
133,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
134,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,NA,82
135,Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
136,Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82,80
137,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
138,Minimalism: A Documentary About the Important Things,TV-PG,,70,2016,NA,82
139,Girlboss,TV-MA,,110,2017,94,80
140,Hot Girls Wanted: Turned On,TV-MA,,110,2017,NA,82
141,The Discovery,TV-MA,,110,2017,NA,82
142,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
143,Sandy Wexler,TV-14,,90,2017,92,80
144,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
145,Win It All,TV-MA,,110,2017,NA,82
146,MerlÌ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,NA,82
147,Amy Schumer: The Leather Special,TV-MA,,110,2017,NA,82
148,Louis C.K. 2017,TV-MA,,110,2017,71,80
149,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80
150,Almost Adults,NR,This movie has not been rated.,124,2016,NA,82
151,The Brothers,R,strong sexual content and language,100,2001,NA,82
152,Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,NA,82
153,The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,80
154,Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59,80
155,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,NA,82
156,Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73,80
157,Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,NA,82
158,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
159,Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63,80
160,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
161,BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
162,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
163,Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
164,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
165,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
166,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
167,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
168,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86,80
169,Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
170,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
171,Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79,80
172,Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
173,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,80
174,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
175,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
176,November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,NA,82
177,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
178,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,NA,82
179,Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
180,Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58,80
181,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96,80
182,Skins,TV-MA,,110,2017,NA,82
183,A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
184,Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
185,Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,NA,81
186,Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61,80
187,Deidra & Laney Rob a Train,TV-14,,90,2017,NA,82
188,Girlboss,TV-MA,,110,2017,94,80
189,Hot Girls Wanted: Turned On,TV-MA,,110,2017,NA,82
190,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
191,Hurricane Bianca,TV-MA,,110,2016,NA,82
192,Honeytrap,NR,This movie has not been rated.,124,2014,NA,82
193,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
194,Lazy Eye,TV-MA,,110,2016,NA,82
195,Like Cotton Twines,NR,,124,2016,NA,82
196,The Wedding Party,TV-14,,90,2016,NA,82
197,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80
198,Only for One Night,TV-MA,,110,2016,78,80
199,Boy Bye,TV-MA,,110,2016,NA,82
200,Almost Adults,NR,This movie has not been rated.,124,2016,NA,82
201,Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,NA,82
202,30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66,80
203,Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82,80
204,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
205,Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,NA,82
206,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
207,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
208,Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,55,80
209,Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
210,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
211,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,NA,82
212,Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73,80
213,Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58,80
214,Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,NA,82
215,The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,NA,82
216,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80,80
217,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
218,The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,NA,82
219,5 to 7,R,some sexual material,100,2014,NA,82
220,Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
221,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
222,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
223,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80
224,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81,80
225,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
226,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86,80
227,Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63,80
228,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
229,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,80
230,Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,NA,82
231,Abstract: The Art of Design,TV-14,,90,2017,NA,82
232,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
233,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94,80
234,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
235,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,NA,82
236,Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,NA,82
237,The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69,80
238,The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89,80
239,One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,NA,82
240,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
241,Hot Girls Wanted: Turned On,TV-MA,,110,2017,NA,82
242,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
243,Better Off Single,TV-MA,,110,2016,NA,82
244,Sandy Wexler,TV-14,,90,2017,92,80
245,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93,80
246,The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79,80
247,Tramps,TV-MA,,110,2017,NA,82
248,Slam,TV-MA,,110,2017,NA,82
249,Cheer Squad,TV-PG,,70,2016,61,80
250,Almost Adults,NR,This movie has not been rated.,124,2016,NA,82
251,The Waterboy,PG-13,language and some crude sexual humor,80,1998,82,80
252,10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68,80
253,Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86,80
254,How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56,80
255,The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77,80
256,Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64,80
257,High School Musical 2,TV-G,Suitable for all ages.,35,2007,58,80
258,Twilight,PG-13,some violence and one sexual scene,80,2008,89,80
259,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
260,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56,80
261,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
262,Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81,80
263,StarStruck,TV-G,Suitable for all ages.,35,2010,NA,82
264,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
265,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
266,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62,80
267,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
268,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
269,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
270,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
271,Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98,80
272,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
273,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
274,Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,NA,82
275,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
276,That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89,80
277,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
278,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
279,Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,85,80
280,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
281,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
282,Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,83,80
283,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
284,Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81,80
285,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
286,The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,NA,82
287,Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62,80
288,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80,80
289,The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93,80
290,Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79,80
291,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
292,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
293,Fuller House,TV-G,Suitable for all ages.,35,2016,90,80
294,Finding Dory,PG,mild thematic elements,60,2016,98,80
295,Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77,80
296,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
297,Gabriel lglesias: I‰Ûªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84,80
298,Amy Schumer: The Leather Special,TV-MA,,110,2017,NA,82
299,Cheer Squad,TV-PG,,70,2016,61,80
300,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94,80
301,The Waterboy,PG-13,language and some crude sexual humor,80,1998,82,80
302,Grease,PG,Parental guidance suggested. May not be suitable for children.,60,1978,86,80
303,The Wedding Planner,PG-13,language and some sexual humor,80,2001,NA,82
304,Blow,R,"pervasive drug content and language, some violence and sexuality",100,2001,78,80
305,High School Musical,TV-G,Suitable for all ages.,35,2006,64,80
306,High School Musical 2,TV-G,Suitable for all ages.,35,2007,58,80
307,Twilight,PG-13,some violence and one sexual scene,80,2008,89,80
308,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56,80
309,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97,80
310,Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,80
311,Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97,80
312,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
313,Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82,80
314,NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,80
315,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
316,How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94,80
317,Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
318,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94,80
319,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
320,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
321,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
322,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98,80
323,Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,NA,82
324,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
325,One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90,80
326,Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61,80
327,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
328,Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88,80
329,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
330,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
331,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
332,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
333,Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84,80
334,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,80
335,Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77,80
336,Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63,80
337,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98,80
338,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80,80
339,The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93,80
340,The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
341,Home,PG,mild action and some rude humor,60,2015,94,80
342,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
343,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
344,Finding Dory,PG,mild thematic elements,60,2016,98,80
345,Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91,80
346,Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,80
347,Girlboss,TV-MA,,110,2017,94,80
348,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
349,Felipe Neto: My Life Makes No Sense,TV-MA,,110,2017,NA,82
350,Cheer Squad,TV-PG,,70,2016,61,80
351,Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,98,80
352,Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85,80
353,The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2010,NA,82
354,Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98,80
355,Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89,80
356,Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98,80
357,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96,80
358,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92,80
359,The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91,80
360,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81,80
361,Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,NA,82
362,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
363,Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90,80
364,White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93,80
365,House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91,80
366,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
367,The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73,80
368,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
369,Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81,80
370,Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98,80
371,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92,80
372,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
373,Unconditional,PG-13,some violent content and mature thematic elements,80,2012,NA,82
374,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80
375,The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
376,The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73,80
377,Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79,80
378,The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80
379,The 100,NR,This movie has not been rated.,124,2016,97,80
380,Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,NA,82
381,Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56,80
382,London Has Fallen,R,strong violence and language throughout,100,2016,96,80
383,Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83,80
384,Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
385,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
386,Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,NA,82
387,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
388,The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84,80
389,Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
390,Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,NA,82
391,The Returned,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,NA,82
392,The Girl in the Book,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,NA,82
393,Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88,80
394,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68,80
395,Ingobernable,TV-MA,,110,2017,96,80
396,Girlboss,TV-MA,,110,2017,94,80
397,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99,80
398,MerlÌ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,NA,82
399,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62,80
400,100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,NA,82
401,Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97,80
